,City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
84,Toronto,1124900,2,1,Ontario,5647656,43.7417,-79.3733,97000
85,Toronto,3088000,4,5,Ontario,5647656,43.7417,-79.3733,97000
86,Toronto,2150000,6,2,Ontario,5647656,43.7417,-79.3733,97000
87,Toronto,999800,2,2,Ontario,5647656,43.7417,-79.3733,97000
88,Toronto,999000,2,2,Ontario,5647656,43.7417,-79.3733,97000
89,Toronto,599000,2,1,Ontario,5647656,43.7417,-79.3733,97000
90,Toronto,549000,2,1,Ontario,5647656,43.7417,-79.3733,97000
91,Toronto,639000,2,1,Ontario,5647656,43.7417,-79.3733,97000
92,Toronto,1150000,7,5,Ontario,5647656,43.7417,-79.3733,97000
93,Toronto,1895000,4,4,Ontario,5647656,43.7417,-79.3733,97000
94,Toronto,3679000,6,4,Ontario,5647656,43.7417,-79.3733,97000
95,Toronto,669990,2,1,Ontario,5647656,43.7417,-79.3733,97000
96,Toronto,899000,3,2,Ontario,5647656,43.7417,-79.3733,97000
97,Toronto,1300000,3,3,Ontario,5647656,43.7417,-79.3733,97000
98,Toronto,859000,2,2,Ontario,5647656,43.7417,-79.3733,97000
99,Toronto,669000,1,1,Ontario,5647656,43.7417,-79.3733,97000
100,Toronto,639000,1,1,Ontario,5647656,43.7417,-79.3733,97000
101,Toronto,1599900,4,4,Ontario,5647656,43.7417,-79.3733,97000
102,Toronto,829900,2,2,Ontario,5647656,43.7417,-79.3733,97000
103,Toronto,1995000,5,3,Ontario,5647656,43.7417,-79.3733,97000
104,Toronto,1075000,2,1,Ontario,5647656,43.7417,-79.3733,97000
105,Toronto,2499900,5,5,Ontario,5647656,43.7417,-79.3733,97000
106,Toronto,499000,1,1,Ontario,5647656,43.7417,-79.3733,97000
107,Toronto,2649999,5,4,Ontario,5647656,43.7417,-79.3733,97000
108,Toronto,1350000,4,2,Ontario,5647656,43.7417,-79.3733,97000
109,Toronto,650000,2,1,Ontario,5647656,43.7417,-79.3733,97000
110,Toronto,1249900,3,2,Ontario,5647656,43.7417,-79.3733,97000
111,Toronto,709000,1,1,Ontario,5647656,43.7417,-79.3733,97000
112,Toronto,889000,3,2,Ontario,5647656,43.7417,-79.3733,97000
113,Toronto,499000,2,1,Ontario,5647656,43.7417,-79.3733,97000
114,Toronto,619900,2,1,Ontario,5647656,43.7417,-79.3733,97000
115,Toronto,1349888,2,2,Ontario,5647656,43.7417,-79.3733,97000
116,Toronto,799990,2,2,Ontario,5647656,43.7417,-79.3733,97000
117,Toronto,979000,4,2,Ontario,5647656,43.7417,-79.3733,97000
118,Toronto,4499000,6,4,Ontario,5647656,43.7417,-79.3733,97000
119,Toronto,635000,2,2,Ontario,5647656,43.7417,-79.3733,97000
120,Toronto,949888,2,2,Ontario,5647656,43.7417,-79.3733,97000
121,Toronto,765000,2,1,Ontario,5647656,43.7417,-79.3733,97000
122,Toronto,1499999,2,1,Ontario,5647656,43.7417,-79.3733,97000
123,Toronto,1849000,0,0,Ontario,5647656,43.7417,-79.3733,97000
124,Toronto,560000,1,1,Ontario,5647656,43.7417,-79.3733,97000
125,Toronto,770000,3,2,Ontario,5647656,43.7417,-79.3733,97000
126,Toronto,1499999,4,4,Ontario,5647656,43.7417,-79.3733,97000
127,Toronto,849900,2,3,Ontario,5647656,43.7417,-79.3733,97000
128,Toronto,1649000,3,2,Ontario,5647656,43.7417,-79.3733,97000
129,Toronto,1688000,5,3,Ontario,5647656,43.7417,-79.3733,97000
130,Toronto,1450000,4,3,Ontario,5647656,43.7417,-79.3733,97000
131,Toronto,1200000,3,2,Ontario,5647656,43.7417,-79.3733,97000
132,Toronto,949000,4,3,Ontario,5647656,43.7417,-79.3733,97000
133,Toronto,1099000,8,5,Ontario,5647656,43.7417,-79.3733,97000
134,Toronto,1980000,0,0,Ontario,5647656,43.7417,-79.3733,97000
135,Toronto,1495000,2,4,Ontario,5647656,43.7417,-79.3733,97000
136,Toronto,698888,1,1,Ontario,5647656,43.7417,-79.3733,97000
137,Toronto,5678000,2,3,Ontario,5647656,43.7417,-79.3733,97000
138,Toronto,438000,2,1,Ontario,5647656,43.7417,-79.3733,97000
139,Toronto,559000,1,1,Ontario,5647656,43.7417,-79.3733,97000
140,Toronto,2099800,4,2,Ontario,5647656,43.7417,-79.3733,97000
141,Toronto,770000,1,1,Ontario,5647656,43.7417,-79.3733,97000
142,Toronto,2695000,4,4,Ontario,5647656,43.7417,-79.3733,97000
143,Toronto,2295000,3,3,Ontario,5647656,43.7417,-79.3733,97000
144,Toronto,870000,3,2,Ontario,5647656,43.7417,-79.3733,97000
145,Toronto,966000,2,2,Ontario,5647656,43.7417,-79.3733,97000
146,Toronto,1399999,3,3,Ontario,5647656,43.7417,-79.3733,97000
147,Toronto,699000,0,1,Ontario,5647656,43.7417,-79.3733,97000
148,Toronto,1499000,3,2,Ontario,5647656,43.7417,-79.3733,97000
149,Toronto,549900,1,1,Ontario,5647656,43.7417,-79.3733,97000
150,Toronto,499000,1,1,Ontario,5647656,43.7417,-79.3733,97000
151,Toronto,1099900,2,2,Ontario,5647656,43.7417,-79.3733,97000
152,Toronto,499999,1,1,Ontario,5647656,43.7417,-79.3733,97000
153,Toronto,650000,2,2,Ontario,5647656,43.7417,-79.3733,97000
154,Toronto,1099000,4,3,Ontario,5647656,43.7417,-79.3733,97000
155,Toronto,819000,2,2,Ontario,5647656,43.7417,-79.3733,97000
156,Toronto,899000,3,1,Ontario,5647656,43.7417,-79.3733,97000
157,Toronto,1499900,5,3,Ontario,5647656,43.7417,-79.3733,97000
158,Toronto,849000,3,2,Ontario,5647656,43.7417,-79.3733,97000
159,Toronto,580000,2,1,Ontario,5647656,43.7417,-79.3733,97000
160,Toronto,825000,2,2,Ontario,5647656,43.7417,-79.3733,97000
161,Toronto,1299800,3,2,Ontario,5647656,43.7417,-79.3733,97000
162,Toronto,615000,1,1,Ontario,5647656,43.7417,-79.3733,97000
